nflId,position,displayName
25511,QB,Tom Brady
29550,T,Jason Peters
29851,QB,Aaron Rodgers
30842,TE,Marcedes Lewis
33084,QB,Matt Ryan
33099,QB,Joe Flacco
33107,T,Duane Brown
33130,WR,DeSean Jackson
33131,DE,Calais Campbell
33138,QB,Chad Henne
34452,QB,Matthew Stafford
34754,QB,Chase Daniel
34843,QB,Brian Hoyer
35443,T,Trent Williams
35449,NT,Tyson Alualu
35452,DE,Brandon Graham
35454,DE,Jason Pierre-Paul
35459,SS,Kareem Jackson
35466,FS,Devin McCourty
35470,DE,Jerry Hughes
35472,G,Rodger Saffold
35493,OLB,Carlos Dunlap
35522,DT,Corey Peters
35562,NT,Al Woods
36785,T,Ty Nsekhe
37075,OLB,Von Miller
37077,WR,A.J. Green
37078,CB,Patrick Peterson
37079,WR,Julio Jones
37084,DE,J.J. Watt
37087,OLB,Robert Quinn
37097,DE,Cameron Jordan
37101,RB,Mark Ingram
37104,DT,Cameron Heyward
37110,QB,Andy Dalton
37118,TE,Kyle Rudolph
37130,C,Rodney Hudson
37139,WR,Randall Cobb
37145,OLB,Justin Houston
37213,T,Marcus Cannon
37255,QB,Tyrod Taylor
37266,C,Jason Kelce
37308,DT,Lawrence Guy
37724,CB,Chris Harris
37778,ILB,Josh Bynes
37792,ILB,Nick Bellore
37841,DE,Mario Addison
38538,QB,Ryan Tannehill
38540,CB,Stephon Gilmore
38542,DT,Fletcher Cox
38544,DE,Michael Brockers
38545,OLB,Bruce Irvin
38548,OLB,Melvin Ingram
38551,DE,Chandler Jones
38553,T,Riley Reiff
38557,G,Kevin Zeitler
38559,SS,Harrison Smith
38577,ILB,Bobby Wagner
38588,ILB,Lavonte David
38589,DE,Vinny Curry
38592,CB,Casey Hayward
38605,QB,Russell Wilson
38607,MLB,Demario Davis
38618,QB,Nick Foles
38619,DT,Akiem Hicks
38629,C,Ben Jones
38632,QB,Kirk Cousins
38683,T,Dennis Kelly
38696,WR,Marvin Jones
38707,FS,Justin Bethel
38779,T,Kelvin Beachum
38843,FS,Rodney McLeod
38852,SS,Michael Thomas
38868,FS,Tashaun Gipson
38937,QB,Case Keenum
38947,WR,Cole Beasley
39212,RB,Brandon Bolden
39646,WR,Josh Gordon
39684,G,Greg Van Roten
39908,FS,Erik Harris
39941,FS,Chris Banjo
39950,T,Lane Johnson
39965,G,Justin Pugh
39973,WR,DeAndre Hopkins
39975,RB,Cordarrelle Patterson
39983,TE,Zach Ertz
39984,CB,Darius Slay
39987,QB,Geno Smith
39989,WR,Robert Woods
39997,NT,Johnathan Hankins
39998,OLB,Jon Bostic
40000,OLB,Jamie Collins
40011,TE,Travis Kelce
40017,FS,Tyrann Mathieu
40023,T,Terron Armstead
40024,WR,Keenan Allen
40026,WR,Marquise Goodwin
40030,NT,John Jenkins
40031,FS,Logan Ryan
40039,SS,Duron Harmon
40048,DT,Akeem Spence
40057,T,David Bakhtiari
40074,DE,William Gholston
40078,FB,Kyle Juszczyk
40089,G,Oday Aboushi
40095,OLB,Steven Means
40096,OLB,A.J. Klein
40107,FS,Micah Hyde
40124,G,David Quessenberry
40129,RB,Latavius Murray
40138,RB,Rex Burkhead
40149,TE,Ryan Griffin
40166,SS,Jordan Poyer
40171,DT,Nicholas Williams
40347,NT,Mike Purcell
40463,OLB,Brandon Copeland
40488,WR,Adam Thielen
40494,CB,Nickell Robey
40737,SS,Tony Jefferson
41069,C,James Ferentz
41227,DE,Jadeveon Clowney
41230,WR,Sammy Watkins
41231,OLB,Khalil Mack
41232,T,Jake Matthews
41233,WR,Mike Evans
41235,OLB,Anthony Barr
41237,T,Taylor Lewan
41239,DT,Aaron Donald
41240,CB,Kyle Fuller
41242,G,Zack Martin
41243,ILB,C.J. Mosley
41245,T,Ja'Wuan James
41246,WR,Brandin Cooks
41256,FS,Jimmie Ward
41257,CB,Bradley Roby
41258,QB,Teddy Bridgewater
41263,DE,Demarcus Lawrence
41264,G,Joel Bitonio
41265,QB,Derek Carr
41269,OLB,Kyle Van Noy
41270,SS,Lamarcus Joyner
41279,OLB,Jeremiah Attaochu
41282,WR,Davante Adams
41290,WR,Allen Robinson
41291,QB,Jimmy Garoppolo
41292,WR,Jarvis Landry
41293,C,Justin Britt
41295,T,Morgan Moses
41296,T,Billy Turner
41300,OLB,Christian Kirksey
41310,G,Gabe Jackson
41321,G,Trai Turner
41324,G,Michael Schofield
41325,RB,Jerick McKinnon
41327,TE,Richard Rodgers
41336,DT,Justin Ellis
41341,DT,DaQuan Jones
41349,TE,Logan Thomas
41358,CB,Dontae Johnson
41361,OLB,Kevin Pierre-Louis
41363,DE,Brent Urban
41369,T,Cameron Fleming
41390,C,Corey Linsley
41403,OLB,Devon Kennard
41464,DE,Shelby Harris
41475,T,Charles Leno
41483,CB,Terrance Mitchell
41500,WR,Willie Snead
41532,T,James Hurst
41563,T,Cornelius Lucas
41595,NT,Mike Pennel
41599,ILB,Joe Thomas
41630,C,Justin McCray
41665,G,Tyler Shatley
41667,T,Josh Wells
41707,C,Tyler Larsen
41712,RB,Damien Williams
41786,DE,Kerry Hyder
41808,FB,Keith Smith
41915,OLB,Shaquil Barrett
41939,G,Andrew Norwell
41947,ILB,Christian Jones
41959,G,Matt Feiler
42030,CB,K'Waun Williams
42031,DE,Denico Autry
42033,TE,Cameron Brate
42116,SS,Adrian Phillips
42302,TE,Chris Manhertz
42331,DE,Efe Obada
42344,QB,Jameis Winston
42345,QB,Marcus Mariota
42346,OLB,Dante Fowler
42347,WR,Amari Cooper
42348,G,Brandon Scherff
42349,DT,Leonard Williams
42350,WR,Kevin White
42356,G,Andrus Peat
42357,WR,DeVante Parker
42358,RB,Melvin Gordon
42360,DT,Arik Armstead
42361,CB,Marcus Peters
42362,T,Cameron Erving
42363,WR,Nelson Agholor
42364,T,Cedric Ogbuehi
